date,symbol,open,high,low,close,volume
2024-10-09,SMH,252.99,255.41,250.21,255.15,4063391
2024-10-10,SMH,252.51,255.87,250.995,254.65,4044564
2024-10-11,SMH,253.61,257.295,253.6,256.69,4202875
2024-10-14,SMH,258.52,262.26,258.42,261.28,4608583
2024-10-15,SMH,261,262.105,245.5786,247.16,14128878
2024-10-16,SMH,249.83,249.83,245.5,247.32,5692277
2024-10-17,SMH,255.175,256.17,251.5,251.58,6744992
2024-10-18,SMH,253.5,253.52,250.86,251.51,3720736
2024-10-21,SMH,251,253.05,249.49,252.84,3923395
2024-10-22,SMH,251.33,252.49,249.67,251.69,3629141
2024-10-23,SMH,250.45,251.67,245.84,249.01,4971630
2024-10-24,SMH,250.87,251.2,248.2,250.06,2595528
2024-10-25,SMH,252.49,256.55,252.3,252.96,6835930
2024-10-28,SMH,252.77,253.05,251,251.21,3557268
2024-10-29,SMH,251.9,258.33,250.86,256.92,5392840
2024-10-30,SMH,251.74,253,249.45,250.68,5348394
2024-10-31,SMH,248.27,248.27,240.28,241.68,9464712
2024-11-01,SMH,244.19,247.29,243.35,244.75,5520983
2024-11-04,SMH,245.31,247.51,243.41,244.27,5199206
2024-11-05,SMH,245.25,249.04,245.08,248.31,4344210
2024-11-06,SMH,252.29,255.69,250.21,254.81,7284403
2024-11-07,SMH,258.39,261.15,258.14,261.02,5370187
2024-11-08,SMH,260.76,261.88,257.92,259.34,3915598
2024-11-11,SMH,257.92,258.05,250.99,253.53,7667252
2024-11-12,SMH,253.1,253.57,248.86,251.86,6574034
2024-11-13,SMH,250.65,251.18,247.22,247.63,5537892
2024-11-14,SMH,249.56,250.96,247.38,248.18,4607584
2024-11-15,SMH,244.17,244.57,238.8001,239.95,9499673
2024-11-18,SMH,239.025,242.17,237.39,241.54,7707042
2024-11-19,SMH,241.1,244.27,240.6,244.18,4505181
2024-11-20,SMH,243.33,243.75,238.65,242.54,7585585
2024-11-21,SMH,245.52,248.1899,239.6,246.1,8825388
2024-11-22,SMH,245.97,246.64,243.31,244.62,4746337
2024-11-25,SMH,246.35,246.35,242.2765,243.66,4562667
2024-11-26,SMH,245.82,246.12,239.89,241.42,4996487
2024-11-27,SMH,239.66,239.8,234.17,238.25,6911612
2024-11-29,SMH,240,244.49,239.59,242.13,5607353
2024-12-02,SMH,243.35,249.15,243.35,247.87,8070277
2024-12-03,SMH,246.93,248.68,245.93,248.42,3227262
2024-12-04,SMH,252.23,253.065,249.32,252.63,5457365
2024-12-05,SMH,251.89,252.16,247.58,248.3,3872077
2024-12-06,SMH,247.88,249.4216,247.21,248.61,3885289
2024-12-09,SMH,246.22,248.96,244.93,246.07,4532551
2024-12-10,SMH,246.43,247.15,238.37,239.88,6402370
2024-12-11,SMH,243.645,247.04,241.73,245.75,5588413
2024-12-12,SMH,244.01,244.64,241.93,243.37,3979280
2024-12-13,SMH,249.52,251.63,246.05,249.49,8628587
2024-12-16,SMH,250.5,254.355,248.92,253.25,4892952
2024-12-17,SMH,250.48,251.17,248.03,249.96,4027848
2024-12-18,SMH,252.16,254.47,240.4527,241.99,8125847
2024-12-19,SMH,243,243.25,238.35,238.87,6895880
2024-12-20,SMH,237.4,245.2599,236.54,242.71,6909310
2024-12-23,SMH,243.53,249.585,243.53,249.22,6650078
2024-12-24,SMH,250.44,251.37,249.38,251.37,2097390
2024-12-26,SMH,250.42,252.39,248.88,250.93,2171444
2024-12-27,SMH,249.28,250.07,245.16,248.4,3812328
2024-12-30,SMH,244.62,247.35,242.73,244.66,3532095
2024-12-31,SMH,245.51,246.05,241.4,242.17,3071840
2025-01-02,SMH,244.52,247.75,242.25,244.79,4464000
2025-01-03,SMH,247,252.33,246.68,251.88,4997025
2025-01-06,SMH,258.67,263.29,258.5,260.23,10533193
2025-01-07,SMH,263.42,263.58,253.05,254.04,7661073
2025-01-08,SMH,253.56,254.33,249.5108,252.23,5189522
2025-01-10,SMH,249.41,249.59,244.92,247.18,6901514
2025-01-13,SMH,241.065,244.93,240.62,244.64,6007459
2025-01-14,SMH,247.73,248.3828,242.39,245.44,3791539
2025-01-15,SMH,249.245,252.07,247.7,251.21,5316796
2025-01-16,SMH,257.11,257.2,252.15,252.29,5696146
2025-01-17,SMH,257.98,258.68,255.61,258.25,5387323
2025-01-21,SMH,260.8,264.32,258.4506,262.39,4922970
2025-01-22,SMH,266,269.66,265.14,267.17,6616460
2025-01-23,SMH,263.02,266.86,261.9,266.85,4704876
2025-01-24,SMH,267.4,267.43,260.62,261.53,5119857
2025-01-27,SMH,242.48,245.08,232.24,235.81,21944880
2025-01-28,SMH,237.89,241.031,232.26,240.45,11707323
2025-01-29,SMH,242.41,242.4537,236.635,239.53,8366035
